DS_PS_Ids	DS_PS_LFC	DS_PS_Genus	AN_PS_Ids	AN_PS_LFC	AN_PS_Genus	DS_Ne_IDs	DS_Ne_LFC	DS_Ne_Genus	AN_Ne_IDs	AN_Ne_LFC	AN_Ne_Genus	DS_Ba_IDs	DS_Ba_LFC	DS_Ba_Genus	AN_Ba_IDs	AN_Ba_LFC	AN_Ba_Genus
622	4.831720343	Shigella	1850246	2.786944717	Urechidicola	628	3.114970144	Xenorhabdus				1218801	3.756054846	Kordia	106592	2.162628548	Ensifer
1971488	4.804666438	Candidatus Nardonella_1	584	2.727145343	Proteus	639310	3.023794685	Olleya				946333	3.717461522	Rhizobacter	2591463	2.158754348	Brevundimonas
82985	4.684267499	Pragia	82985	2.714038626	Pragia	2686366	3.012466553	Algibacter				2027857	3.714039745	Mariniflexile	128785	2.11520069	Pseudoxanthomonas
2570561	4.651058828	Psychroserpens	665914	2.672016111	Mixta	320324	3.005715289	Formosa				718192	3.626229856	Litorilituus	2686077	2.087120597	Winogradskyella
399	4.565447486	Neorhizobium	1312072	2.624033616	Polaribacter	2594003	2.956319947	Ferrovibrio				1241981	3.615596129	Epilithonimonas	718192	2.07927717	Litorilituus
61647	4.526198387	Pluralibacter	61647	2.606061556	Pluralibacter	1936081	2.945398449	Seonamhaeicola				2764720	3.530709732	Olivibacter	2027857	2.046065157	Mariniflexile
1639108	4.506165855	Chania	122277	2.585777463	Pectobacterium	1803846	2.938303248	Flavivirga				2010972	3.523048743	Caulobacter			
1755811	4.502737029	Paraphotobacterium	1755811	2.527071502	Paraphotobacterium	2371	2.9234656	Xylella				2529032	3.466429253	Oceanihabitans			
1850246	4.48309654	Urechidicola	40576	2.524994424	Xenorhabdus	1662285	2.918005664	Methylophilus				2049305	3.395208728	Changchengzhania			
122277	4.433918501	Pectobacterium	639310	2.477848221	Olleya	1714849	2.902750968	Aquimarina				106592	3.347484377	Ensifer			
2283160	4.422312067	Psychrobacillus	983544	2.4591944	Lacinutrix	1619313	2.853521515	Erwinia				208223	3.334275912	Kosakonia			
